temp,vIBCF61_HOST5,DS_vIBCF61-HOST5,DUNSAN_NEW,7,ND,4,ND-4,20,60.13.115.15
temp,vIBCF61_HOST4,DS_vIBCF61-HOST4,DUNSAN_NEW,7,ND,4,ND-4,22,60.13.115.14
temp,vIBCF61_HOST3,DS_vIBCF61-HOST3,DUNSAN_NEW,7,ND,4,ND-4,24,60.13.115.13
temp,vIBCF61_HOST2,DS_vIBCF61-HOST2,DUNSAN_NEW,7,ND,4,ND-4,26,60.13.115.12
temp,vIBCF61_HOST1,DS_vIBCF61-HOST1,DUNSAN_NEW,7,ND,4,ND-4,28,60.13.115.11
temp,NSG45,NSG45,DUNSAN_NEW,7,NF,1,NF-1,10,1.1.1.94
temp,NSG45_SYS#0,temp44,DUNSAN_NEW,7,NF,1,NF-1,23,1.1.1.95
temp,NSG46,NSG46,DUNSAN_NEW,7,NF,2,NF-2,10,1.1.1.96
temp,NSG46,NSG46,DUNSAN_NEW,7,NF,2,NF-2,23,1.1.1.97
temp,HLRCS#171,hlrcs171,DUNSAN_NEW,7,NG,1,NG-1,9,10.28.3.137
temp,HLRCS#172,hlrcs172,DUNSAN_NEW,7,NG,1,NG-1,14,10.28.3.138
temp,HLRCS#173,hlrcs173,DUNSAN_NEW,7,NG,2,NG-2,9,10.28.3.139
temp,HLRCS_OMP_B,hlrcsomp_bk,DUNSAN_NEW,7,NG,2,NG-2,14,10.28.3.142
temp,HRG#181,temp45,DUNSAN_NEW,7,NG,2,NG-2,16,1.1.1.98
temp,HRG#182,temp46,DUNSAN_NEW,7,NG,2,NG-2,19,1.1.1.99
temp,HLRCS OMP,temp47,DUNSAN_NEW,7,NG,2,NG-2,22,1.1.1.100
temp,HRG##171,hrg171,DUNSAN_NEW,7,NG,3,NG-3,9,10.28.3.134
